Grid ID 2019,Easting,Northing,Zone,Borough,co2_Accidental Fires,co2_Agriculture,co2_Aviation,co2_Biomass,co2_Commercial Cooking,co2_Construction,co2_Forestry,co2_Gas Leakage,co2_Heat and Power Generation,co2_Industrial Processes,co2_Machinery,co2_Rail,co2_Resuspension,co2_River,co2_Road Transport,co2_Waste,nox,pm10,pm2.5,nox_hotspot
1,510500,203500,Non GLA,Non GLA,0.0,6.8846510304779,0.0,0.0,0.0,0.0,0.0,0.01084,1100.7940207309364,0.038108028,1.0590754430191,0.0,0.0,0.0,104.09716403313533,0.0,1.3408235823808872,0.16265321373122427,0.1215331109588346,0
2,511500,203500,Non GLA,Non GLA,0.0,8.13640583114934,0.0,0.0,0.0,0.0,0.0,0.01866,437.0926419352197,7.285451888,0.117675328444377,0.0,0.0,0.0,22980.04108709028,0.0,45.66547871915479,9.893811883040936,2.3497477510830542,1
3,512500,203500,Non GLA,Non GLA,0.0,9.07511239305904,0.0,0.0,0.0,0.0,0.0,0.0181,724.0553574454473,6.038537882,0.353020959372535,0.0,0.0,0.0,10649.026486727425,0.0,19.84172253921843,4.926729502805884,1.1250896291225752,0
4,515500,203500,Non GLA,Non GLA,0.0,8.13640583114934,0.0,0.0,0.0,0.0,0.0,0.109,2042.915301074886,4.881539879,1.76512573836516,521.3287424499999,0.0,0.0,103.75145011019266,0.0,5.732810234799689,0.4856761830616459,0.3700986940984928,0
5,516500,203500,Non GLA,Non GLA,0.0,8.86648970307189,0.0,0.0,0.0,0.0,0.0,0.04929,1917.3697865810761,0.187626119,1.76510479686268,331.71484384,0.0,0.0,93.67376286486673,0.0,4.426323978859172,0.35550260890277074,0.2701663273911415,0
6,517500,203500,Non GLA,Non GLA,0.0,5.21564487839264,0.0,0.0,0.0,0.0,0.0,0.11075,2050.9214364897134,0.105358678,4.35397626286067,0.0,0.0,0.0,263.9075343271936,0.0,2.1400148432425077,0.32933702157168787,0.2414751682702318,0
7,518500,203500,Non GLA,Non GLA,0.0,4.58976710484196,0.0,0.0,0.0,0.0,0.0,0.22114,2491.329680502257,1.787892864,3.76560129595898,0.0,0.0,0.0,9347.413167388971,0.0,18.35199688706997,4.389074752001415,1.12543954535715,0
8,519500,203500,Non GLA,Non GLA,0.0,9.90960539229746,0.0,0.0,0.0,0.0,0.0,0.03693,671.8754237113124,0.0,0.0,0.0,0.0,0.0,13503.452900395365,0.0,26.737096568266768,5.6568932170968145,1.3282413611237769,0
9,508500,202500,Non GLA,Non GLA,0.0,7.92768461240995,0.0,0.0,0.0,0.0,0.0,0.01767,1406.9622363133622,0.746322236,0.941389224993427,70.79293694,0.0,0.0,14994.031328037498,0.0,28.387860805732508,6.17295628024127,1.3392621328083825,1
10,509500,202500,Non GLA,Non GLA,0.0,5.3199577162461,0.0,0.0,0.0,0.0,0.0,0.11556,2172.0606654041358,0.0,5.06002655820674,0.0,0.0,0.0,15455.908137170378,0.0,29.850600452270886,6.971323184590078,1.946760646597639,1
